# Duplicate candidate windows by flavour

| Count | Fixture                                          | First                                                                                       | Duplicates                                                                                                                                                                                                                                                                          | Detail                            | Fingerprint                                                                                     |
|-------|--------------------------------------------------|---------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|-------------------------------------------------------------------------------------------------|
| 10    | flavour_797e70ba14383326e5da8a8f57dc9fcc0c8f5f15 | Zend/tests/function_arguments/argument_count_incorrect_internal_strict.phpt:9               | Zend/tests/function_arguments/argument_count_incorrect_userland.phpt:9, Zend/tests/function_arguments/argument_count_incorrect_userland.phpt:17, Zend/tests/function_arguments/argument_count_incorrect_userland.phpt:26, +6 more                                                   | class_message/fixable             | class_message:06a80bebe59f18275122b6b47cc19208e9b59069                                          |
| 6     | flavour_456a7754447a36678fa12d2fd2c266f1b0b367f1 | ext/standard/tests/file/file_get_contents_variation8-win32.phpt:39                          | ext/standard/tests/file/file_get_contents_variation8.phpt:38, ext/standard/tests/file/file_put_contents_variation8-win32.phpt:43, ext/standard/tests/file/file_put_contents_variation8.phpt:48, +2 more                                                                             | class_message/fixable             | class_message:1822bf8ed1ad988b4e614fdf2f14ca39a8ef9c51                                          |
| 10    | flavour_d6f35901fb83986153a2373de0f0b9a24071e8f8 | ext/pdo/tests/bug_44159.phpt:25                                                             | ext/pdo/tests/bug_44159.phpt:30, ext/pdo/tests/bug_44159.phpt:35, ext/pdo_mysql/tests/pdo_mysql_attr_errmode.phpt:20, +6 more                                                                                                                                                       | class_message/fixable             | class_message:36c453d6d52772742abbb04d51d68e1c900ec0b7                                          |
| 2     | flavour_ddd550505986de2cde0c918330b6d4054ee1e53a | ext/session/tests/session_start_error.phpt:23                                               | ext/xml/tests/xml_parser_set_option_errors.phpt:55                                                                                                                                                                                                                                  | class_message/fixable             | class_message:4450bb808289323dd470777e064c431b06b4ce0f                                          |
| 43    | flavour_5a1dceb974f946aee80936a0c39a182d9da15130 | Zend/tests/enum/backed-mismatch.phpt:13                                                     | Zend/tests/enum/backed-mismatch.phpt:19, Zend/tests/enum/backed-mismatch.phpt:25, Zend/tests/enum/backed-mismatch.phpt:31, +39 more                                                                                                                                                 | class_message/fixable             | class_message:5311ac2624765a560f627497301445c9d3764be3                                          |
| 6     | flavour_9821a6ef4b280f5a7f58787065c840c53bd3a6c1 | ext/opcache/tests/jit/mod_001.phpt:29                                                       | ext/opcache/tests/jit/mod_002.phpt:41, ext/opcache/tests/jit/shift_left_001.phpt:27, ext/opcache/tests/jit/shift_left_002.phpt:39, +2 more                                                                                                                                          | class_message/descriptive_context | class_message:5fa9fdbecc306ab0898712888e7ee7a7af58f8bc                                          |
| 2     | flavour_d86eb3a9ad9ea1d0d96a5d8936daac5634f6c74d | ext/hash/tests/hash_equals.phpt:12                                                          | ext/hash/tests/hash_hkdf_error.phpt:14                                                                                                                                                                                                                                              | class_message/fixable             | class_message:6787cafe6fd4fba420c189132694f9be8eb7119a                                          |
| 8     | flavour_65738b59fe73fe7a6e720f95ad53c104738c1652 | Zend/tests/numeric_strings/invalid_numeric_string_must_generate_warning_assign.phpt:74      | Zend/tests/numeric_strings/invalid_numeric_strings_must_generate_warning.phpt:45, ext/mbstring/tests/mb_ereg1.phpt:22, ext/mbstring/tests/mb_substitute_character_variation_strict_types.phpt:103, +4 more                                                                          | class_message/fixable             | class_message:7800b05bba6dc66269daaa916a7ab83de4b8b6f5                                          |
| 3     | flavour_3b948714f3ccb19b83baca973120e79724b2dfe6 | Zend/tests/pipe_operator/oss_fuzz_427814452.phpt:9                                          | Zend/tests/pipe_operator/oss_fuzz_427814452.phpt:14, Zend/tests/pipe_operator/oss_fuzz_427814452.phpt:19                                                                                                                                                                            | class_message/descriptive_context | class_message:7c26878f3c15276262c66a0d4977ff90f4a26de8                                          |
| 3     | flavour_c491c98e40cc020d3cdbd958ce40f1e19790e5d4 | ext/session/tests/session_create_id_invalid_prefix.phpt:19                                  | ext/session/tests/session_create_id_invalid_prefix.phpt:25, ext/session/tests/user_session_module/session_set_save_handler_error5.phpt:13                                                                                                                                           | class_message/fixable             | class_message:84c1e73ea95e2d262886c0bd2b7f69ac5dd4eefb                                          |
| 13    | flavour_4d03c051d0fad9d7bc2b8aecf9d8dd4c9f251900 | ext/phar/tests/phar_buildfromdirectory1.phpt:15                                             | ext/phar/tests/phar_buildfromdirectory2-win.phpt:18, ext/phar/tests/phar_buildfromdirectory2.phpt:18, ext/phar/tests/phar_buildfromiterator1.phpt:16, +9 more                                                                                                                       | class_message/fixable             | class_message:8b65546e383f7a820c89cb2cf9c4bb5092c9988e                                          |
| 197   | flavour_87aaf69a330661e35aa6d2cbb44e00a7d6dc2b6b | Zend/tests/clone/bug36071.phpt:10                                                           | Zend/tests/clone/bug42817.phpt:8, Zend/tests/clone/bug42818.phpt:8, Zend/tests/clone/clone_001.phpt:9, +193 more                                                                                                                                                                    | class_message/fixable             | class_message:b3f6e56a4bf062bb4c8045bcf6fe085821046d1c                                          |
| 139   | flavour_c8f88051198a45ad9a9be136f9346e262ce07d72 | Zend/tests/attributes/delayed_target_validation/has_runtime_errors.phpt:69                  | Zend/tests/attributes/delayed_target_validation/opcache_validator_errors.phpt:23, Zend/tests/attributes/delayed_target_validation/validator_AllowDynamicProperties.phpt:36, Zend/tests/attributes/delayed_target_validation/validator_Attribute.phpt:36, +135 more                  | class_message/fixable             | class_message:c9651d4617334e6b25c53b731fcab0893846b725                                          |
| 6     | flavour_4b86c3def3dd957fe4dad73704ca1997eefd3da8 | Zend/tests/arg_unpack/invalid_type.phpt:13                                                  | Zend/tests/arg_unpack/invalid_type.phpt:18, Zend/tests/arg_unpack/invalid_type.phpt:23, Zend/tests/arg_unpack/invalid_type.phpt:29, +2 more                                                                                                                                         | class_message/fixable             | class_message:cf3c137de23a35876c63bc6734149f6e1f90055d                                          |
